Freq.	V(out)
1.91645192040045e+003	1.93355010767208e+001,-2.08521760003187e+001
1.92183522158468e+003	1.92960660851748e+001,-2.08451267452547e+001
1.92721852276890e+003	1.92566862928063e+001,-2.08380534860931e+001
1.93260182395313e+003	1.92173619776153e+001,-2.08309559449258e+001
1.93798512513736e+003	1.91780934142390e+001,-2.08238338528910e+001
1.94336842632158e+003	1.91388808739560e+001,-2.08166869500199e+001
1.94875172750581e+003	1.90997246246971e+001,-2.08095149850891e+001
1.95413502869004e+003	1.90606249310474e+001,-2.08023177154555e+001
1.95951832987426e+003	1.90215820542570e+001,-2.07950949069106e+001
1.96490163105849e+003	1.89825962522509e+001,-2.07878463335293e+001
1.97028493224272e+003	1.89436677796308e+001,-2.07805717775293e+001
1.97566823342694e+003	1.89047968876889e+001,-2.07732710291209e+001
1.98105153461117e+003	1.88659838244105e+001,-2.07659438863663e+001
1.98643483579540e+003	1.88272288344976e+001,-2.07585901550426e+001
1.99181813697962e+003	1.87885321593584e+001,-2.07512096485034e+001
1.99720143816385e+003	1.87498940371346e+001,-2.07438021875436e+001
2.00258473934808e+003	1.87113147027022e+001,-2.07363676002651e+001
2.00796804053230e+003	1.86727943876842e+001,-2.07289057219483e+001
2.01335134171653e+003	1.86343333204635e+001,-2.07214163949190e+001
2.01873464290076e+003	1.85959317261941e+001,-2.07138994684274e+001
2.02411794408498e+003	1.85575898268093e+001,-2.07063547985219e+001
2.02950124526921e+003	1.85193078410398e+001,-2.06987822479184e+001
2.03488454645344e+003	1.84810859844129e+001,-2.06911816858910e+001
2.04026784763766e+003	1.84429244692838e+001,-2.06835529881462e+001
2.04565114882189e+003	1.84048235048339e+001,-2.06758960367065e+001
2.05103445000612e+003	1.83667832970887e+001,-2.06682107197987e+001
2.05641775119034e+003	1.83288040489297e+001,-2.06604969317312e+001
2.06180105237457e+003	1.82908859601099e+001,-2.06527545727962e+001
2.06718435355880e+003	1.82530292272650e+001,-2.06449835491409e+001
2.07256765474302e+003	1.82152340439306e+001,-2.06371837726814e+001
2.07795095592725e+003	1.81775006005498e+001,-2.06293551609759e+001
2.08333425711148e+003	1.81398290844976e+001,-2.06214976371401e+001
2.08871755829570e+003	1.81022196800843e+001,-2.06136111297164e+001
2.09410085947993e+003	1.80646725685775e+001,-2.06056955726026e+001
2.09948416066416e+003	1.80271879282160e+001,-2.05977509049297e+001
2.10486746184838e+003	1.79897659342219e+001,-2.05897770709692e+001
2.11025076303261e+003	1.79524067588183e+001,-2.05817740200461e+001
2.11563406421684e+003	1.79151105712444e+001,-2.05737417064318e+001
2.12101736540106e+003	1.78778775377693e+001,-2.05656800892488e+001
2.12640066658529e+003	1.78407078217108e+001,-2.05575891323900e+001
2.13178396776952e+003	1.78036015834481e+001,-2.05494688044137e+001
2.13716726895374e+003	1.77665589804380e+001,-2.05413190784634e+001
2.14255057013797e+003	1.77295801672353e+001,-2.05331399321830e+001
2.14793387132220e+003	1.76926652955035e+001,-2.05249313476130e+001
2.15331717250642e+003	1.76558145140330e+001,-2.05166933111230e+001
2.15870047369065e+003	1.76190279687594e+001,-2.05084258133149e+001
2.16408377487488e+003	1.75823058027797e+001,-2.05001288489513e+001
2.16946707605910e+003	1.75456481563630e+001,-2.04918024168622e+001
2.17485037724333e+003	1.75090551669783e+001,-2.04834465198730e+001
2.18023367842756e+003	1.74725269693023e+001,-2.04750611647210e+001
2.18561697961178e+003	1.74360636952388e+001,-2.04666463619831e+001
2.19100028079601e+003	1.73996654739384e+001,-2.04582021259863e+001
2.19638358198024e+003	1.73633324318123e+001,-2.04497284747528e+001
2.20176688316446e+003	1.73270646925493e+001,-2.04412254299053e+001
2.20715018434869e+003	1.72908623771397e+001,-2.04326930166066e+001
